TOP,MIDDLE,JUNGLE,BOTTOM,UTILITY,OUTCOME,experience,goldspent,baron,champion_kills,dragon,inhibitor,riftHerald,tower,teamId
Heimerdinger,Zoe,LeeSin,Xayah,Blitzcrank,Lose,69574,77499,1,30,1,0,1,2,100
Jayce,Zac,Elise,Aphelios,Lulu,Win,79825,7750,1,27,5,1,0,9,100
Gragas,Lissandra,LeeSin,Ezreal,Soraka,Lose,71025,78925,1,22,0,0,2,5,200
Sejuani,Annie,Hecarim,Ezreal,Soraka,Win,66506,7535,1,28,2,1,1,5,100
Akshan,Lissandra,Rengar,Zeri,Yuumi,Lose,53274,59374,0,12,2,0,1,2,200
Malphite,Vex,LeeSin,Jinx,Lulu,Win,44676,43358,0,22,2,0,2,4,200
Jayce,Cassiopeia,Rammus,Aphelios,Rakan,Lose,37333,41583,0,9,0,0,0,1,100
Jayce,Leblanc,Gragas,Zeri,Rakan,Win,68208,6600,1,32,2,2,0,8,100
Tryndamere,Ahri,Graves,Aphelios,Nautilus,Lose,55769,65494,0,20,1,0,2,5,200
Maokai,Irelia,Taliyah,Zeri,Thresh,Win,33120,32187,0,18,1,0,1,3,200
Illaoi,Katarina,Nidalee,Nilah,Nautilus,Lose,27912,31037,0,6,0,0,0,0,100
Illaoi,Ahri,Zac,Jinx,Thresh,Win,34957,3875,0,14,1,0,2,5,100
Gwen,Lissandra,Khazix,Ezreal,Rakan,Lose,30365,33350,0,6,1,0,0,0,200
Rengar,Orianna,Hecarim,Ezreal,Pyke,Win,57051,50847,1,31,2,2,2,8,200
Riven,Cassiopeia,Lillia,Zeri,Yuumi,Lose,43147,48672,0,11,0,0,0,0,100
Gwen,Irelia,Viego,Lucian,Braum,Win,100009,8575,1,30,5,2,2,10,100
Azir,Talon,Karthus,Ezreal,Karma,Lose,97273,106498,1,29,0,0,0,5,200
Gwen,Irelia,Viego,Lucian,Jinx,Win,104019,12350,0,55,0,3,0,4,100
Azir,Talon,Karthus,Ezreal,TwistedFate,Lose,96750,108650,0,52,0,0,0,2,200
Gragas,Yone,Talon,Aphelios,Sett,Win,80830,78188,1,43,4,1,1,10,200
Maokai,Anivia,Graves,Xayah,Leona,Lose,69763,76538,0,32,1,0,1,2,100
Jax,TwistedFate,LeeSin,Aphelios,Rakan,Win,51078,51715,1,28,1,1,2,8,200
Irelia,Akali,Belveth,MissFortune,Nautilus,Lose,46040,53375,0,21,1,0,0,1,100
Irelia,Zoe,LeeSin,Sivir,Ashe,Win,54035,5465,1,21,3,1,2,9,100
Gangplank,Sylas,Nidalee,Ezreal,Nautilus,Lose,42151,46651,0,10,0,0,0,0,200
Irelia,Zoe,LeeSin,Sivir,Renekton,Win,66427,66482,0,48,0,1,0,4,200
Gangplank,Sylas,Nidalee,Ezreal,Jinx,Lose,57282,66132,0,34,0,0,0,0,100
Irelia,Galio,Elise,Aphelios,Milio,Win,31589,4975,0,16,1,0,0,4,100
Shen,Belveth,Nidalee,Xayah,Rakan,Lose,26772,29832,0,4,0,0,1,0,200
Irelia,Galio,Elise,Aphelios,Zac,Win,116501,15900,0,66,0,2,0,4,100
Shen,Belveth,Nidalee,Xayah,Syndra,Lose,111774,129674,0,66,0,1,0,2,200
Kayle,Ahri,JarvanIV,Ezreal,Nami,Win,78348,78361,0,49,4,2,0,6,200
Illaoi,Irelia,Warwick,Samira,Camille,Lose,70536,83971,1,33,0,0,1,5,100
Renekton,TwistedFate,Graves,Jinx,Nautilus,Win,46669,40495,0,26,1,0,1,6,200
Jayce,Cassiopeia,Kindred,Ashe,Janna,Lose,35695,40205,0,7,1,0,1,1,100
Zac,Akshan,Shaco,Jinx,Seraphine,Win,85469,8500,2,42,4,1,2,10,100
Riven,Anivia,Poppy,Aphelios,Thresh,Lose,70575,77850,0,30,1,0,0,2,200
Irelia,Leblanc,Shaco,Ezreal,Pyke,Win,35804,5125,0,28,1,0,1,4,100
Yone,Yasuo,JarvanIV,Jhin,Milio,Lose,26667,30167,0,9,0,0,0,0,200
Darius,Ryze,Nidalee,Jinx,Thresh,Win,50646,46325,0,28,2,0,1,4,200
Gragas,Akshan,Khazix,Ezreal,Morgana,Lose,39850,45950,0,13,1,0,1,1,100
Renekton,Yone,Rumble,Ezreal,Soraka,Win,92424,81471,2,37,5,2,1,9,200
Fiora,Katarina,Gragas,Aphelios,Nautilus,Lose,73496,81321,0,22,0,0,1,2,100
Elise,Yasuo,Maokai,Kaisa,Pyke,Win,31405,6300,0,25,0,0,1,5,100
Rumble,Zed,Graves,Aphelios,Blitzcrank,Lose,26054,31339,0,7,0,0,0,0,200
